Seller ID,Sellers Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction,phe duyet,sau thu tuc,chuan bi,san pham dau tien
381,Electronic,3/21/2018,4/16/2018,5/24/2018,5/25/2018,7/15/2018,26,116,1,51
382,BBFF,4/10/2018,4/23/2018,4/23/2018,6/14/2018,6/14/2018,13,65,52,0
383,Electronic,4/13/2018,6/21/2018,6/13/2018,6/17/2018,6/23/2018,69,71,4,6
384,BBFF,4/13/2018,4/20/2018,6/13/2018,6/17/2018,6/15/2018,7,63,4,-2
385,BBFF,5/29/2018,6/26/2018,7/5/2018,8/2/2018,9/8/2018,28,102,28,37
386,Electronic,6/5/2018,6/26/2018,7/12/2018,8/9/2018,8/14/2018,21,70,28,5
387,LifeStyle,6/11/2018,7/30/2018,8/7/2018,8/15/2018,8/24/2018,49,74,8,9
388,Book,6/23/2018,7/26/2018,8/23/2018,8/27/2018,8/29/2018,33,67,4,2
389,BBFF,2/2/2018,3/26/2018,2/13/2018,4/7/2018,4/19/2018,52,76,53,12
390,LifeStyle,3/1/2018,3/22/2018,3/20/2018,5/4/2018,5/9/2018,21,69,45,5
391,Book,4/11/2018,4/27/2018,5/22/2018,6/14/2018,6/13/2018,16,63,23,-1
392,LifeStyle,4/14/2018,4/23/2018,6/13/2018,6/17/2018,6/21/2018,9,68,4,4
393,BBFF,4/17/2018,4/20/2018,5/25/2018,6/20/2018,7/4/2018,3,78,26,14
394,BBFF,4/21/2018,6/15/2018,6/19/2018,6/24/2018,7/1/2018,55,71,5,7
395,BBFF,5/2/2018,6/26/2018,6/26/2018,7/5/2018,7/19/2018,55,78,9,14
396,LifeStyle,5/19/2018,7/12/2018,7/17/2018,7/22/2018,7/31/2018,54,73,5,9
397,BBFF,6/11/2018,7/30/2018,8/7/2018,8/14/2018,9/30/2018,49,111,7,47
398,BBFF,8/5/2018,8/7/2018,10/8/2018,10/8/2018,10/11/2018,2,67,0,3
399,BBFF,8/7/2018,10/3/2018,8/28/2018,10/10/2018,10/18/2018,57,72,43,8
400,BBFF,2/1/2018,2/28/2018,2/26/2018,4/5/2018,4/7/2018,27,65,38,2
401,Digital Service,3/19/2018,4/18/2018,4/26/2018,5/21/2018,6/1/2018,30,74,25,11
402,LifeStyle,4/3/2018,5/7/2018,5/7/2018,6/5/2018,6/12/2018,34,70,29,7
403,BBFF,4/12/2018,4/27/2018,6/13/2018,6/14/2018,6/20/2018,15,69,1,6
404,BBFF,4/26/2018,6/11/2018,6/14/2018,6/28/2018,7/15/2018,46,80,14,17
405,BBFF,4/27/2018,5/15/2018,5/31/2018,6/29/2018,6/29/2018,18,63,29,0
406,BBFF,4/27/2018,4/27/2018,6/26/2018,6/29/2018,6/29/2018,0,63,3,0
407,Electronic,5/23/2018,5/31/2018,7/18/2018,7/25/2018,7/25/2018,8,63,7,0
408,LifeStyle,6/7/2018,6/20/2018,6/8/2018,8/9/2018,8/19/2018,13,73,62,10
409,LifeStyle,6/13/2018,6/30/2018,7/12/2018,8/15/2018,8/17/2018,17,65,34,2
410,Digital Service,6/27/2018,8/1/2018,7/31/2018,8/29/2018,9/17/2018,35,82,29,19
411,BBFF,3/23/2018,3/28/2018,5/2/2018,5/24/2018,5/29/2018,5,67,22,5
412,LifeStyle,3/28/2018,3/28/2018,4/4/2018,5/29/2018,6/16/2018,0,80,55,18
413,BBFF,4/10/2018,4/27/2018,5/25/2018,6/11/2018,8/17/2018,17,129,17,67
414,BBFF,4/10/2018,4/26/2018,5/23/2018,6/11/2018,6/15/2018,16,66,19,4
415,LifeStyle,4/20/2018,4/24/2018,6/19/2018,6/21/2018,6/28/2018,4,69,2,7
416,LifeStyle,4/24/2018,4/27/2018,6/22/2018,6/25/2018,8/3/2018,3,101,3,39
417,BBFF,5/21/2018,6/8/2018,7/11/2018,7/22/2018,7/17/2018,18,57,11,-5
418,BBFF,5/21/2018,6/1/2018,6/19/2018,7/22/2018,7/20/2018,11,60,33,-2
419,Electronic,5/24/2018,7/23/2018,7/24/2018,7/25/2018,8/6/2018,60,74,1,12
420,BBFF,5/25/2018,6/6/2018,7/16/2018,7/26/2018,9/12/2018,12,110,10,48
421,BBFF,6/30/2018,7/20/2018,8/10/2018,8/31/2018,9/6/2018,20,68,21,6
422,BBFF,7/13/2018,8/3/2018,8/21/2018,9/13/2018,9/30/2018,21,79,23,17
423,LifeStyle,7/27/2018,7/28/2018,9/26/2018,9/27/2018,10/17/2018,1,82,1,20
424,LifeStyle,8/7/2018,8/23/2018,9/14/2018,10/8/2018,10/9/2018,16,63,24,1
